tmdbid,Lookup ID,URL,Featured Review
1947,1947-unfinished-life-an,https://www.themoviedb.org/movie/1947-unfinished-life-an,"I enjoyed watching this movie. It has the high quality I would expect from the director of What’s Eating Gilbert Grape, another movie that relies on a solid story and good acting to carry it through. The actors top to bottom are as good as they need to be. I especially like that the girl wasn’t turned into one of those witty, smart-mouthed sitcom brats you often see. The character is fairly serious and a few times comes out with an observation that is meaningful and believable. Like the comment to her grandfather that an old boyfriend of her mother only hit her Mom with words, like he did."
8643,8643-the-exorcism-of-emily-rose,https://www.themoviedb.org/movie/8643-the-exorcism-of-emily-rose,"During the trial for his events, a lawyer tries to help her client, a priest, seek the truth about what happened to the young woman who died under his care while performing an exorcism to cure her of a demonic possession and eventually lets the truth about it be known."
8923,8923-green-street-hooligans,https://www.themoviedb.org/movie/8923-green-street-hooligans,"Woefully underrated drama too often passed off as a ""boy's night"" action film."
59,59-history-of-violence-a,https://www.themoviedb.org/movie/59-history-of-violence-a,"Probably Cronenberg's most mundane work, but that's not even remotely a knock againstA History of Violence. I hear tell that fans of the comic don't much like this big screen re-telling, but I've never read it, so I'm gonna go ahead and really enjoy it anyway."
15487,15487-the-greatest-game-ever-played,https://www.themoviedb.org/movie/15487-the-greatest-game-ever-played,Superb! One of Disney's best live-action offerings up until 2005.
398,398-capote,https://www.themoviedb.org/movie/398-capote,"Actor or mimic or both? Philip Seymour Hoffman certainly delivers a plausible and captivating portrayal of the eponymous acclaimed novelist in the late 1950s. He is researching his latest novel when he alights on news of the brutal murder of a Kansas family. Pretty unscrupulously, this rather unfulfilled writer decides this is a rich vein for him to exploit, and so using just about every (legal) means at his disposal manages to ingratiate himself with friends of the victims and then once the police apprehend two suspects, he does the same with Perry Smith (Clifton Collins Jnr.). He intends to u...read the rest."
11968,11968-into-the-blue,https://www.themoviedb.org/movie/11968-into-the-blue,"Into the Blue doesn't break new ground, but it's a solid thriller with a fun cast, a suspenseful story, and worth a watch."
5236,5236-kiss-kiss-bang-bang,https://www.themoviedb.org/movie/5236-kiss-kiss-bang-bang,"It's literally like someone took America by the East Coast and shook it, and all the normal girls managed to hang on."
5471,5471-beowulf-grendel,https://www.themoviedb.org/movie/5471-beowulf-grendel,"Not a bad little piece, but sort of out of its time. If it wasn't for the cast (and what a cast) I would have assumed this movie was made at least a decade earlier than it actually was. The dialogue's mix of contemporary and faux medieval was also particularly odd, and the effects were... I don't want to say bad... But, again, seems like the sort of quality that might have come about in the early 90s more than mid 00s."
3527,3527-dont-come-knocking,https://www.themoviedb.org/movie/3527-dont-come-knocking,Caught between Earth and Sky
10707,10707-the-squid-and-the-whale,https://www.themoviedb.org/movie/10707-the-squid-and-the-whale,Gripping realistic account of divorce and its consequences; it’s also occasionally comical
9621,9621-elizabethtown,https://www.themoviedb.org/movie/9621-elizabethtown,"Charming if not uneven romantic-drama-comedy that has its moments though Orlando Bloom's narration felt stilted at times, but I liked his interactions with Kirsten Dunst. A bit weak compared with Cameron Crowe's other works, still liked it enough.3.5/5"
16608,16608-the-proposition,https://www.themoviedb.org/movie/16608-the-proposition,"Well, no matter how I rate this movie a lot of people are going to say that my rating is wrong. That is something that you probably can say about any rating for any movie. I feel it is especially true as far as this movie goes though. As you can see from my rating I was not exactly thrilled by the movie. That does not mean that it is a bad movie. Again, this you can say about a lot of ratings, especially my ratings."
791,791-the-fog,https://www.themoviedb.org/movie/791-the-fog,It was like an itch I had to scratch !!!!
33241,33241-protocols-of-zion,https://www.themoviedb.org/movie/33241-protocols-of-zion,"The Protocols of Zion is really something that exists. It has been documented and it's still being applied today. This movie, like all movies that tries to shut down anyone that it's opposed to Zionism, tries to touch people's hearts by using strong images and also tries to make you feel bad and consider yourself antisemitic. Don't get fooled. This movie is just made to mislead you."
1656,1656-the-legend-of-zorro,https://www.themoviedb.org/movie/1656-the-legend-of-zorro,I finally got around to watching this yesterday. I'm sorry to say that this movie is a laughable sequel to the first one also starring Bandaras and Jones. It would be hard to convince me that the same director was involved with both projects if I hadn't read it in the credits for myself.
1951,1951-manderlay,https://www.themoviedb.org/movie/1951-manderlay,Interesting social / psychological experiment following the trail of Dogville but not as round and imaginative as the previous one.
16022,16022-nine-lives,https://www.themoviedb.org/movie/16022-nine-lives,"Nine lives, which isn't exactly true. There are definitely more than nine lives in this movie, but you could also choose to think of the title a bit differently. Like, they say a cat has nine lives, meaning that you can try and kill it, but its nearly impossible, it will just keep coming back. It is sorta the same thing with the nine women of this movie. They have all endured hardship in their lives, but they are impossible to kill (not that anyone is trying, except maybe one of the women themselves)."
